"iteration","scenario","ratio","method","beta","se","p_value","n_matched_cases","n_discordant","matched_mac","ratio_label"
8,"Positive control",4,"Oracle GWAS",0.567794088111599,0.122071708823582,3.29823534537287e-06,,,,"1:4"
8,"Positive control",4,"Standard GWAS",0.793732171101646,0.121336846624921,6.08807057391734e-11,,,,"1:4"
8,"Positive control",4,"PC-adjusted GWAS",0.595432799939014,0.122120107334006,1.08370248691151e-06,,,,"1:4"
8,"Positive control",4,"Matching + CLR",0.652787371460132,0.158993655988181,2.95898455460141e-05,2500,180,187,"1:4"
8,"Positive control",6,"Oracle GWAS",0.567794088111599,0.122071708823582,3.29823534537287e-06,,,,"1:6"
8,"Positive control",6,"Standard GWAS",0.793732171101646,0.121336846624921,6.08807057391734e-11,,,,"1:6"
8,"Positive control",6,"PC-adjusted GWAS",0.595432799939014,0.122120107334006,1.08370248691151e-06,,,,"1:6"
8,"Positive control",6,"Matching + CLR",0.63250084803106,0.148703266521308,1.49725513012598e-05,2500,236,252,"1:6"
9,"Negative control",1,"Oracle GWAS",0.154097057491154,0.110200067924367,0.162011278820316,,,,"1:1"
9,"Negative control",1,"Standard GWAS",0.798449699595241,0.108250951498917,1.63221458148717e-13,,,,"1:1"
9,"Negative control",1,"PC-adjusted GWAS",0.251425877441029,0.112304279981974,0.0251694798044776,,,,"1:1"
9,"Negative control",1,"Matching + CLR",0,0.202030508910442,1,2500,98,100,"1:1"
9,"Negative control",4,"Oracle GWAS",0.154097057491154,0.110200067924367,0.162011278820316,,,,"1:4"
9,"Negative control",4,"Standard GWAS",0.798449699595241,0.108250951498917,1.63221458148717e-13,,,,"1:4"
9,"Negative control",4,"PC-adjusted GWAS",0.251425877441029,0.112304279981974,0.0251694798044776,,,,"1:4"
9,"Negative control",4,"Matching + CLR",-0.0101922448576708,0.159859783641344,0.949163183050842,2500,240,252,"1:4"
9,"Negative control",6,"Oracle GWAS",0.154097057491154,0.110200067924367,0.162011278820316,,,,"1:6"
9,"Negative control",6,"Standard GWAS",0.798449699595241,0.108250951498917,1.63221458148717e-13,,,,"1:6"
